Feature Set,Model,MAE,RMSE,R²,Max Error,Underestimation %
Base,random_forest,6.94072689343673,17.159574050807798,0.9103023611549946,349.5594209067182,44.888564446073424
Base,xgboost,6.956177192834439,17.244673635049217,0.9094104789302002,349.8471857378972,45.21794561131561
Base,linear_regression,14.640322606526428,26.09612670671538,0.7925468138309295,419.84369199939084,56.907202184022395
Engineered,xgboost,6.932652473523003,17.155736083414663,0.9103424808121982,359.9253303675115,44.97745474205376
Engineered,random_forest,6.9420447896298425,17.162296574345106,0.9102738961937002,349.34294591992386,44.89252189075748
Engineered,linear_regression,14.42285326353168,25.855525117654864,0.7963545412963828,414.45614168869224,56.309384501672476
